Day,AnimalCount,PlantCount,EmptyBoxesCount,AverageEnergy,AverageLifeLength,AverageChildrenCount,MostCommonGenome
1,100,69,9831,99.01,0.00,0.00,62224145
2,100,98,9803,98.03,0.00,0.00,62224145
3,101,127,9774,96.10,0.00,0.02,62224145
4,101,154,9745,95.22,0.00,0.02,62224145
5,102,183,9720,93.31,0.00,0.04,62224145
6,104,212,9689,90.60,0.00,0.08,07213027
7,104,240,9657,89.86,0.00,0.08,07213027
8,104,268,9629,89.13,0.00,0.08,07213027
9,104,295,9601,88.49,0.00,0.08,07213027
10,105,323,9575,86.77,0.00,0.10,07213027
11,106,346,9551,85.86,0.00,0.11,07213027
12,106,372,9522,85.20,0.00,0.11,07213027
13,106,398,9498,84.54,0.00,0.11,07213027
14,106,426,9469,83.76,0.00,0.11,07213027
15,106,456,9439,82.76,0.00,0.11,07213027
16,106,484,9412,82.07,0.00,0.11,07213027
17,107,510,9385,80.80,0.00,0.13,07213027
18,107,533,9363,80.79,0.00,0.13,07213027
19,107,560,9335,80.18,0.00,0.13,07213027
20,107,580,9314,80.41,20.00,0.13,07213027
21,108,604,9292,79.31,20.00,0.15,07213027
